name cycles_per_byte cycles_per_byte_err  gb_per_s gb_per_s_err 
"simdjson "	 2.742 0.109 0.805 0.031 
"RapidJSON  "	 5.868 0.126 0.376 0.008 
"RapidJSON (insitu)"	 5.901 0.065 0.374 0.004 
"sajson (dynamic mem)"	 5.475 0.171 0.403 0.012 
"sajson"	 3.860 0.087 0.572 0.013 
"dropbox (json11)     "	 28.076 0.352 0.079 0.001 
"fastjson             "	 13.015 0.217 0.170 0.003 
"gason             "	 3.717 0.940 0.594 0.120 
"ultrajson         "	 6.710 0.092 0.329 0.004 
"jsmn           "	 47.987 0.317 0.046 0.000 
"cJSON           "	 35.302 0.433 0.063 0.001 
