name cycles_per_byte cycles_per_byte_err  gb_per_s gb_per_s_err 
"simdjson "	 3.702 0.046 0.921 0.011 
"RapidJSON  "	 7.619 0.036 0.447 0.002 
"RapidJSON (insitu)"	 7.426 0.014 0.459 0.001 
"sajson (dynamic mem)"	 6.702 0.145 0.508 0.011 
"sajson"	 5.006 0.054 0.681 0.007 
"dropbox (json11)     "	 45.202 4.961 0.075 0.007 
"fastjson             "	 17.095 0.363 0.199 0.004 
"gason             "	 4.498 1.051 0.758 0.143 
"ultrajson         "	 8.591 0.032 0.397 0.001 
"jsmn           "	 18.672 0.072 0.183 0.001 
"cJSON           "	 43.523 1.752 0.078 0.003 
