name cycles_per_byte cycles_per_byte_err  gb_per_s gb_per_s_err 
"simdjson "	 2.430 0.023 1.402 0.013 
"RapidJSON  "	 4.683 0.032 0.728 0.005 
"RapidJSON (insitu)"	 4.703 0.011 0.724 0.002 
"sajson (dynamic mem)"	 5.078 0.312 0.671 0.039 
"sajson"	 3.410 0.024 0.999 0.007 
"dropbox (json11)     "	 21.818 0.103 0.156 0.001 
"fastjson             "	 11.126 0.167 0.306 0.005 
"gason             "	 3.329 0.506 1.024 0.135 
"ultrajson         "	 4.810 0.026 0.708 0.004 
"jsmn           "	 32.929 0.169 0.103 0.001 
"cJSON           "	 23.476 0.105 0.145 0.001 
